Cargo,Local,Empresa,Descricao,Link,nivel,vaga,cidade,estado,latitude,longitude
cientista de dados - junior | presencial ou home office,"São Paulo, SP",Ambev Tech,Conhecimento de bancos de dados: modelo de banco de dados relacional;Jornada de trabalho de 40 horas semanais;Então sua jornada é com a gente!,https://tinyurl.com/yyv83ns6,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
machine learning engineer (cientista de dados),"São Paulo, SP",TAKING,Criar visualizações de dados que demonstrem insights e resultados para os times de negócio;Desenhar códigos de automação de soluções junto a Engenharia de…,https://tinyurl.com/y6j4pwyd,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados pleno | inteligencia artificial,"São Paulo, SP",PicPay,"O Cientista de Dados é uma pessoa que aplica ciência de dados no desenvolvimento, implantação e monitoramento para as soluções de Inteligência Artificial…",https://tinyurl.com/y6ox6qzk,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados senior,"São Paulo, SP",Cognizant,Understand program objectives and prepare the program charter.Identify benefits and success criteria of the program.Share the same with Stakeholders.,https://tinyurl.com/y4p46sgh,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados junior | inteligencia artificial,"São Paulo, SP",PicPay,"O Cientista de Dados é uma pessoa que aplica ciência de dados no desenvolvimento, implantação e monitoramento para as soluções de Inteligência Artificial…",https://tinyurl.com/y6reck5g,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
estatistico (cientista de dados),"São Paulo, SP",TAKING,Criar visualizações de dados que demonstrem insights e resultados para os times de negócio;Desenhar códigos de automação de soluções junto a Engenharia de…,https://tinyurl.com/yxg2rvox,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados senior | inteligencia artificial,"São Paulo, SP",PicPay,"O Cientista de Dados é uma pessoa que aplica ciência de dados no desenvolvimento, implantação e monitoramento para as soluções de Inteligência Artificial…",https://tinyurl.com/y2ur9cjy,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados para modelagem financeira,"São Paulo, SP",Acordo Certo,"Usar o forte conhecimento estatístico e ciência de dados para analisar, questionar, criar modelos estatísticos/financeiros para precificar potenciais…",https://tinyurl.com/yxkz4g55,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados junior,"São Paulo, SP",TOTVS,"Necessário vivência na manipulação dos seguintes itens: modelo multidimensional (OLAP), data warehouse, data mart, mineração de dados, banco de dados…",https://tinyurl.com/y5lxx2zm,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados sr,"São Paulo, SP",Itaú Unibanco,Nosso time é essencialmente analítico e composto por analistas de modelagem e cientistas de dados.Aplicamos técnicas de Advanced Analytics para produzir…,https://tinyurl.com/yykwvcco,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
